mu,pm,rr,rep,bin,r2,kind,n_trees_sim,n_trees_inf
1e-10,0.001,1e-13,0,1,0.9150930428302212,inferred,1,3
1e-10,0.001,1e-13,0,2,0.9150930428302212,inferred,1,3
1e-10,0.001,1e-13,0,3,0.9150930428302212,inferred,1,3
1e-10,0.001,1e-13,0,4,0.9150930428302212,inferred,1,3
1e-10,0.001,1e-13,0,5,0.9150930428302212,inferred,1,3
1e-10,0.001,1e-13,0,6,0.9150930428302212,inferred,1,3
1e-10,0.001,1e-13,0,7,0.9150930428302212,inferred,1,3
1e-10,0.001,1e-13,0,8,0.9150930428302212,inferred,1,3
1e-10,0.001,1e-13,0,9,0.9150930428302212,inferred,1,3
1e-10,0.001,1e-13,0,10,0.9150930428302212,inferred,1,3
1e-10,0.001,1e-13,0,11,0.9150930428302212,inferred,1,3
1e-10,0.001,1e-13,0,12,0.9150930428302212,inferred,1,3
1e-10,0.001,1e-13,0,13,0.9150930428302212,inferred,1,3
1e-10,0.001,1e-13,0,14,0.9150930428302212,inferred,1,3
1e-10,0.001,1e-13,0,15,0.9150930428302212,inferred,1,3
1e-10,0.001,1e-13,0,16,0.9150930428302212,inferred,1,3
1e-10,0.001,1e-13,0,17,0.9150930428302212,inferred,1,3
1e-10,0.001,1e-13,0,18,0.9150930428302212,inferred,1,3
1e-10,0.001,1e-13,0,19,0.9150930428302212,inferred,1,3
1e-10,0.001,1e-13,0,20,0.9150930428302212,inferred,1,3
1e-10,0.001,1e-13,0,21,0.9150930428302212,inferred,1,3
1e-10,0.001,1e-13,0,22,0.9150930428302212,inferred,1,3
1e-10,0.001,1e-13,0,23,0.9150930428302212,inferred,1,3
1e-10,0.001,1e-13,0,24,0.9150930428302212,inferred,1,3
1e-10,0.001,1e-13,0,25,0.9150930428302212,inferred,1,3
1e-10,0.001,1e-13,0,26,0.9150930428302212,inferred,1,3
1e-10,0.001,1e-13,0,27,0.9150930428302212,inferred,1,3
1e-10,0.001,1e-13,0,28,0.9150930428302212,inferred,1,3
1e-10,0.001,1e-13,0,29,0.9150930428302212,inferred,1,3
1e-09,0.001,1.0000000000000002e-12,0,1,0.9907583656936036,inferred,2,3
1e-09,0.001,1.0000000000000002e-12,0,2,0.9907583656936036,inferred,2,3
1e-09,0.001,1.0000000000000002e-12,0,3,0.9907583656936036,inferred,2,3
1e-09,0.001,1.0000000000000002e-12,0,4,0.9907583656936036,inferred,2,3
1e-09,0.001,1.0000000000000002e-12,0,5,0.9907583656936036,inferred,2,3
1e-09,0.001,1.0000000000000002e-12,0,6,0.9907583656936036,inferred,2,3
1e-09,0.001,1.0000000000000002e-12,0,7,0.9907583656936036,inferred,2,3
1e-09,0.001,1.0000000000000002e-12,0,8,0.9907583656936036,inferred,2,3
1e-09,0.001,1.0000000000000002e-12,0,9,0.9907583656936036,inferred,2,3
1e-09,0.001,1.0000000000000002e-12,0,10,0.9907583656936036,inferred,2,3
1e-09,0.001,1.0000000000000002e-12,0,11,0.9907583656936036,inferred,2,3
1e-09,0.001,1.0000000000000002e-12,0,12,0.9907583656936036,inferred,2,3
1e-09,0.001,1.0000000000000002e-12,0,13,0.9945110922482616,inferred,2,3
1e-09,0.001,1.0000000000000002e-12,0,14,0.9945110922482616,inferred,2,3
1e-09,0.001,1.0000000000000002e-12,0,15,0.9945110922482616,inferred,2,3
1e-09,0.001,1.0000000000000002e-12,0,16,0.9945110922482616,inferred,2,3
1e-09,0.001,1.0000000000000002e-12,0,17,0.9945110922482616,inferred,2,3
1e-09,0.001,1.0000000000000002e-12,0,18,0.9945110922482616,inferred,2,3
1e-09,0.001,1.0000000000000002e-12,0,19,0.9945110922482616,inferred,2,3
1e-09,0.001,1.0000000000000002e-12,0,20,0.9945110922482616,inferred,2,3
1e-09,0.001,1.0000000000000002e-12,0,21,0.9945110922482616,inferred,2,3
1e-09,0.001,1.0000000000000002e-12,0,22,0.9945110922482616,inferred,2,3
1e-09,0.001,1.0000000000000002e-12,0,23,0.9945110922482616,inferred,2,3
1e-09,0.001,1.0000000000000002e-12,0,24,0.9945110922482616,inferred,2,3
1e-09,0.001,1.0000000000000002e-12,0,25,0.9945110922482616,inferred,2,3
1e-09,0.001,1.0000000000000002e-12,0,26,0.9945110922482616,inferred,2,3
1e-09,0.001,1.0000000000000002e-12,0,27,0.9945110922482616,inferred,2,3
1e-09,0.001,1.0000000000000002e-12,0,28,0.9945110922482616,inferred,2,3
1e-09,0.001,1.0000000000000002e-12,0,29,0.9945110922482616,inferred,2,3
1e-10,0.01,1e-12,0,1,0.8006422327604246,inferred,2,3
1e-10,0.01,1e-12,0,2,0.8006422327604246,inferred,2,3
1e-10,0.01,1e-12,0,3,0.8006422327604246,inferred,2,3
1e-10,0.01,1e-12,0,4,0.8006422327604246,inferred,2,3
1e-10,0.01,1e-12,0,5,0.8006422327604246,inferred,2,3
1e-10,0.01,1e-12,0,6,0.8006422327604246,inferred,2,3
1e-10,0.01,1e-12,0,7,0.8006422327604246,inferred,2,3
1e-10,0.01,1e-12,0,8,0.8006422327604246,inferred,2,3
1e-10,0.01,1e-12,0,9,0.8006422327604246,inferred,2,3
1e-10,0.01,1e-12,0,10,0.8006422327604246,inferred,2,3
1e-10,0.01,1e-12,0,11,0.8006422327604246,inferred,2,3
1e-10,0.01,1e-12,0,12,0.8006422327604246,inferred,2,3
1e-10,0.01,1e-12,0,13,0.7998849631596374,inferred,2,3
1e-10,0.01,1e-12,0,14,0.7998849631596374,inferred,2,3
1e-10,0.01,1e-12,0,15,0.7998849631596374,inferred,2,3
1e-10,0.01,1e-12,0,16,0.7998849631596374,inferred,2,3
1e-10,0.01,1e-12,0,17,0.7998849631596374,inferred,2,3
1e-10,0.01,1e-12,0,18,0.7998849631596374,inferred,2,3
1e-10,0.01,1e-12,0,19,0.7998849631596374,inferred,2,3
1e-10,0.01,1e-12,0,20,0.7998849631596374,inferred,2,3
1e-10,0.01,1e-12,0,21,0.7998849631596374,inferred,2,3
1e-10,0.01,1e-12,0,22,0.7998849631596374,inferred,2,3
1e-10,0.01,1e-12,0,23,0.7998849631596374,inferred,2,3
1e-10,0.01,1e-12,0,24,0.7998849631596374,inferred,2,3
1e-10,0.01,1e-12,0,25,0.7998849631596374,inferred,2,3
1e-10,0.01,1e-12,0,26,0.7998849631596374,inferred,2,3
1e-10,0.01,1e-12,0,27,0.7998849631596374,inferred,2,3
1e-10,0.01,1e-12,0,28,0.7998849631596374,inferred,2,3
1e-10,0.01,1e-12,0,29,0.7998849631596374,inferred,2,3
1e-10,0.1,1.0000000000000001e-11,0,1,0.7626487140948186,inferred,9,5
1e-10,0.1,1.0000000000000001e-11,0,2,0.7626487140948186,inferred,9,5
1e-10,0.1,1.0000000000000001e-11,0,3,0.7626487140948186,inferred,9,5
1e-10,0.1,1.0000000000000001e-11,0,4,0.7687110469672872,inferred,9,5
1e-10,0.1,1.0000000000000001e-11,0,5,0.7687110469672872,inferred,9,5
1e-10,0.1,1.0000000000000001e-11,0,6,0.7863876820164254,inferred,9,5
1e-10,0.1,1.0000000000000001e-11,0,7,0.909531122117265,inferred,9,5
1e-10,0.1,1.0000000000000001e-11,0,8,0.9095334680994277,inferred,9,5
1e-10,0.1,1.0000000000000001e-11,0,9,0.9095334680994277,inferred,9,5
1e-10,0.1,1.0000000000000001e-11,0,10,0.9095334680994277,inferred,9,5
1e-10,0.1,1.0000000000000001e-11,0,11,0.9095334680994277,inferred,9,5
1e-10,0.1,1.0000000000000001e-11,0,12,0.9095334680994277,inferred,9,5
1e-10,0.1,1.0000000000000001e-11,0,13,0.9095334680994277,inferred,9,5
1e-10,0.1,1.0000000000000001e-11,0,14,0.9095334680994277,inferred,9,5
1e-10,0.1,1.0000000000000001e-11,0,15,0.9095334680994277,inferred,9,5
1e-10,0.1,1.0000000000000001e-11,0,16,0.9095334680994277,inferred,9,5
1e-10,0.1,1.0000000000000001e-11,0,17,0.9095334680994277,inferred,9,5
1e-10,0.1,1.0000000000000001e-11,0,18,0.9095334680994277,inferred,9,5
1e-10,0.1,1.0000000000000001e-11,0,19,0.6722052162642725,inferred,9,5
1e-10,0.1,1.0000000000000001e-11,0,20,0.3708139080570751,inferred,9,5
1e-10,0.1,1.0000000000000001e-11,0,21,0.2759534369711433,inferred,9,5
1e-10,0.1,1.0000000000000001e-11,0,22,0.8961812589733602,inferred,9,5
1e-10,0.1,1.0000000000000001e-11,0,23,0.8961812589733602,inferred,9,5
1e-10,0.1,1.0000000000000001e-11,0,24,0.8961812589733602,inferred,9,5
1e-10,0.1,1.0000000000000001e-11,0,25,0.8449830928853195,inferred,9,5
1e-10,0.1,1.0000000000000001e-11,0,26,0.8449830928853195,inferred,9,5
1e-10,0.1,1.0000000000000001e-11,0,27,0.8449830928853195,inferred,9,5
1e-10,0.1,1.0000000000000001e-11,0,28,0.8449830928853195,inferred,9,5
1e-10,0.1,1.0000000000000001e-11,0,29,0.8961272788212461,inferred,9,5
1e-10,0.3,3e-11,0,1,0.7839717576138114,inferred,14,3
1e-10,0.3,3e-11,0,2,0.7839717576138114,inferred,14,3
1e-10,0.3,3e-11,0,3,0.7839717576138114,inferred,14,3
1e-10,0.3,3e-11,0,4,0.7874375356991576,inferred,14,3
1e-10,0.3,3e-11,0,5,0.7874375356991576,inferred,14,3
