mu,pm,rr,rep,bin,r2,kind
1e-10,0.001,1e-13,0,1,0.9150930428302212,null
1e-10,0.001,1e-13,0,2,0.9150930428302212,null
1e-10,0.001,1e-13,0,3,0.9150930428302212,null
1e-10,0.001,1e-13,0,5,0.9150930428302212,null
1e-10,0.001,1e-13,0,6,0.9150930428302212,null
1e-10,0.001,1e-13,0,7,0.9150930428302212,null
1e-10,0.001,1e-13,0,8,0.9150930428302212,null
1e-10,0.001,1e-13,0,9,0.9150930428302212,null
1e-10,0.001,1e-13,0,10,0.9150930428302212,null
1e-10,0.001,1e-13,0,11,0.9150930428302212,null
1e-10,0.001,1e-13,0,12,0.9150930428302212,null
1e-10,0.001,1e-13,0,13,0.9150930428302212,null
1e-10,0.001,1e-13,0,14,0.9150930428302212,null
1e-10,0.001,1e-13,0,15,0.9150930428302212,null
1e-10,0.001,1e-13,0,16,0.9150930428302212,null
1e-10,0.001,1e-13,0,17,0.9150930428302212,null
1e-10,0.001,1e-13,0,18,0.9150930428302212,null
1e-10,0.001,1e-13,0,19,0.9150930428302212,null
1e-10,0.001,1e-13,0,20,0.9150930428302212,null
1e-10,0.001,1e-13,0,21,0.9150930428302212,null
1e-10,0.001,1e-13,0,22,0.9150930428302212,null
1e-10,0.001,1e-13,0,23,0.9150930428302212,null
1e-10,0.001,1e-13,0,24,0.9150930428302212,null
1e-10,0.001,1e-13,0,25,0.9150930428302212,null
1e-10,0.001,1e-13,0,26,0.9150930428302212,null
1e-10,0.001,1e-13,0,27,0.9150930428302212,null
1e-10,0.001,1e-13,0,28,0.9150930428302212,null
1e-10,0.001,1e-13,0,29,0.9150930428302212,null
1e-10,0.001,1e-13,0,1,0.9150930428302212,null
1e-10,0.001,1e-13,0,2,0.9150930428302212,null
1e-10,0.001,1e-13,0,3,0.9150930428302212,null
1e-10,0.001,1e-13,0,4,0.9150930428302212,null
1e-10,0.001,1e-13,0,5,0.9150930428302212,null
1e-10,0.001,1e-13,0,6,0.9150930428302212,null
1e-10,0.001,1e-13,0,7,0.9150930428302212,null
1e-10,0.001,1e-13,0,8,0.9150930428302212,null
1e-10,0.001,1e-13,0,9,0.9150930428302212,null
1e-10,0.001,1e-13,0,10,0.9150930428302212,null
1e-10,0.001,1e-13,0,11,0.9150930428302212,null
1e-10,0.001,1e-13,0,12,0.9150930428302212,null
1e-10,0.001,1e-13,0,13,0.9150930428302212,null
1e-10,0.001,1e-13,0,14,0.9150930428302212,null
1e-10,0.001,1e-13,0,15,0.9150930428302212,null
1e-10,0.001,1e-13,0,16,0.9150930428302212,null
1e-10,0.001,1e-13,0,17,0.9150930428302212,null
1e-10,0.001,1e-13,0,19,0.9150930428302212,null
1e-10,0.001,1e-13,0,20,0.9150930428302212,null
1e-10,0.001,1e-13,0,21,0.9150930428302212,null
1e-10,0.001,1e-13,0,22,0.9150930428302212,null
1e-10,0.001,1e-13,0,23,0.9150930428302212,null
1e-10,0.001,1e-13,0,24,0.9150930428302212,null
1e-10,0.001,1e-13,0,25,0.9150930428302212,null
1e-10,0.001,1e-13,0,26,0.9150930428302212,null
1e-10,0.001,1e-13,0,27,0.9150930428302212,null
1e-10,0.001,1e-13,0,28,0.9150930428302212,null
1e-10,0.001,1e-13,0,29,0.9150930428302212,null
1e-10,0.001,1e-13,0,1,0.9150930428302212,null
1e-10,0.001,1e-13,0,2,0.9150930428302212,null
1e-10,0.001,1e-13,0,3,0.9150930428302212,null
1e-10,0.001,1e-13,0,4,0.9150930428302212,null
1e-10,0.001,1e-13,0,5,0.9150930428302212,null
1e-10,0.001,1e-13,0,6,0.9150930428302212,null
1e-10,0.001,1e-13,0,7,0.9150930428302212,null
1e-10,0.001,1e-13,0,8,0.9150930428302212,null
1e-10,0.001,1e-13,0,9,0.9150930428302212,null
1e-10,0.001,1e-13,0,10,0.9150930428302212,null
1e-10,0.001,1e-13,0,11,0.9150930428302212,null
1e-10,0.001,1e-13,0,12,0.9150930428302212,null
1e-10,0.001,1e-13,0,13,0.9150930428302212,null
1e-10,0.001,1e-13,0,14,0.9150930428302212,null
1e-10,0.001,1e-13,0,15,0.9150930428302212,null
1e-10,0.001,1e-13,0,16,0.9150930428302212,null
1e-10,0.001,1e-13,0,17,0.9150930428302212,null
1e-10,0.001,1e-13,0,18,0.9150930428302212,null
1e-10,0.001,1e-13,0,20,0.9150930428302212,null
1e-10,0.001,1e-13,0,21,0.9150930428302212,null
1e-10,0.001,1e-13,0,22,0.9150930428302212,null
1e-10,0.001,1e-13,0,23,0.9150930428302212,null
1e-10,0.001,1e-13,0,24,0.9150930428302212,null
1e-10,0.001,1e-13,0,25,0.9150930428302212,null
1e-10,0.001,1e-13,0,26,0.9150930428302212,null
1e-10,0.001,1e-13,0,27,0.9150930428302212,null
1e-10,0.001,1e-13,0,28,0.9150930428302212,null
1e-10,0.001,1e-13,0,29,0.9150930428302212,null
1e-10,0.001,1e-13,0,1,0.9150930428302212,null
1e-10,0.001,1e-13,0,2,0.9150930428302212,null
1e-10,0.001,1e-13,0,3,0.9150930428302212,null
1e-10,0.001,1e-13,0,4,0.9150930428302212,null
1e-10,0.001,1e-13,0,5,0.9150930428302212,null
1e-10,0.001,1e-13,0,6,0.9150930428302212,null
1e-10,0.001,1e-13,0,7,0.9150930428302212,null
1e-10,0.001,1e-13,0,8,0.9150930428302212,null
1e-10,0.001,1e-13,0,9,0.9150930428302212,null
1e-10,0.001,1e-13,0,10,0.9150930428302212,null
1e-10,0.001,1e-13,0,11,0.9150930428302212,null
1e-10,0.001,1e-13,0,12,0.9150930428302212,null
1e-10,0.001,1e-13,0,13,0.9150930428302212,null
1e-10,0.001,1e-13,0,14,0.9150930428302212,null
1e-10,0.001,1e-13,0,15,0.9150930428302212,null
1e-10,0.001,1e-13,0,16,0.9150930428302212,null
1e-10,0.001,1e-13,0,17,0.9150930428302212,null
1e-10,0.001,1e-13,0,19,0.9150930428302212,null
1e-10,0.001,1e-13,0,20,0.9150930428302212,null
1e-10,0.001,1e-13,0,21,0.9150930428302212,null
1e-10,0.001,1e-13,0,22,0.9150930428302212,null
1e-10,0.001,1e-13,0,23,0.9150930428302212,null
1e-10,0.001,1e-13,0,24,0.9150930428302212,null
1e-10,0.001,1e-13,0,25,0.9150930428302212,null
1e-10,0.001,1e-13,0,26,0.9150930428302212,null
1e-10,0.001,1e-13,0,27,0.9150930428302212,null
1e-10,0.001,1e-13,0,28,0.9150930428302212,null
1e-10,0.001,1e-13,0,29,0.9150930428302212,null
